Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,VRATE,LCSC Part #,Sim.Pins,Sim.Device,Sim.Type,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER
C1,1,4u7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
"C10, C25",2,47u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,10,,,,,,,,,,,,,,,
"C11, C14",2,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,16,,,,,,,,,,,,,,,
C12,1,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C13,1,3n9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
"C15, C16, C17",3,150p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,C282831,,,,,,,,,,,,,,
"C18, C19, C20",3,330p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,C106055,,,,,,,,,,,,,,
C2,1,6n8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C21,1,22n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
"C22, C27, C28, C29, C30, C31, C32, C4, C5",9,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,"[C4,C5]50; [C27,C28,C29,C30,C31,C32]16",,,,,,,,,,,,,,,
"C23, C24",2,220u,C_Elec_10x10.2,,,,smt,Polarized capacitor,capacitor/SMD/elec_round,50,,,,,,,,,,,,,,,
C26,1,DNP,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,Yes,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C3,1,100u,C_Elec_10x10.2,,,,smt,Polarized capacitor,capacitor/SMD/elec_round,50,,,,,,,,,,,,,,,
C6,1,4n3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C7,1,220p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C8,1,1n8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
C9,1,1p2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,50,,,,,,,,,,,,,,,
D1,1,26V,SMB_L4.3-W3.6-LS5.4-BI,,,,tht,Bidirectional transient-voltage-suppression diode,,,,,,,,,,,,,,,,,
D2,1,SS24FL,SMA_L4.4-W2.8-LS5.4-RD,,,,tht,"40V 2A Schottky Diode, SMA",,,,,,,,,,,,,,,,,
D3,1,LED_ORANGE,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,,,1=K 2=A,,,,,,,,,,,,,
D4,1,LED_RED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,,,1=K 2=A,,,,,,,,,,,,,
D5,1,LED_GREEN,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,,,1=K 2=A,,,,,,,,,,,,,
D6,1,LED_BLUE,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,,,1=K 2=A,,,,,,,,,,,,,
D7,1,LED_YELLOW,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,,,1=K 2=A,,,,,,,,,,,,,
E1,1,escon,escon_vero,,,,tht,,,,,,,,,,,,,,,,,,
J1,1,Conn_01x04,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
