pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
212.2,-110.4,-90.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4u7,smt
183.4,-113.4,-90.0,top,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47u,smt
174.4,-106.2,90.0,top,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1u,smt
219.0,-95.5,-90.0,top,C12,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u,smt
209.2,-85.2,180.0,top,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3n9,smt
164.6,-105.0,90.0,top,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1u,smt
235.9,-38.3,90.0,top,C15,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150p,smt
219.3,-38.2,90.0,top,C16,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150p,smt
197.0,-38.0,90.0,top,C17,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150p,smt
238.8,-38.3,90.0,top,C18,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,330p,smt
216.4,-38.2,90.0,top,C19,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,330p,smt
206.95,-101.7,90.0,top,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,6n8,smt
193.8,-37.9,90.0,top,C20,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,330p,smt
193.1,-77.6,180.0,top,C21,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22n,smt
198.5,-77.6,0.0,top,C22,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
174.2,-73.7,90.0,top,C23,,,C_Elec_10x10.2,220u,smt
161.9,-73.7,90.0,top,C24,,,C_Elec_10x10.2,220u,smt
180.6,-113.4,-90.0,top,C25,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47u,smt
214.4,-82.4,90.0,top,C26,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DNP,smt
128.6,-61.5,90.0,top,C27,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
116.7,-64.8,-90.0,top,C28,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
116.2,-47.7,90.0,top,C29,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
231.2,-74.2,90.0,top,C3,,,C_Elec_10x10.2,100u,smt
137.2,-114.8,0.0,top,C30,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
137.2,-89.6,0.0,top,C31,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
153.2,-110.5,-90.0,top,C32,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
224.0,-91.7,-90.0,top,C4,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
207.2,-112.2,180.0,top,C5,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
221.7,-82.4,90.0,top,C6,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4n3,smt
217.6,-82.4375,90.0,top,C7,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,220p,smt
180.2,-100.1,-90.0,top,C8,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1n8,smt
184.6,-101.5,180.0,top,C9,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1p2,smt
230.6,-92.6,90.0,top,D1,,,SMB_L4.3-W3.6-LS5.4-BI,26V,tht
202.6,-115.0,-90.0,top,D2,,,SMA_L4.4-W2.8-LS5.4-RD,SS24FL,tht
227.2,-119.0,90.0,top,D3,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED_ORANGE,smt
236.2,-119.0,90.0,top,D4,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED_RED,smt
231.795,-119.0,90.0,top,D5,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED_GREEN,smt
222.4,-119.2,90.0,top,D6,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED_BLUE,smt
217.4,-119.2,90.0,top,D7,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED_YELLOW,smt
156.68,-48.7575,180.0,top,E1,,,escon_vero,escon,tht
102.0,-27.8,0.0,top,H1,,,MountingHole_3.2mm_M3,MountingHole,tht
242.6,-27.6,0.0,top,H2,,,MountingHole_3.2mm_M3,MountingHole,tht
242.6,-119.6,0.0,top,H3,,,MountingHole_3.2mm_M3,MountingHole,tht
101.8,-119.6,0.0,top,H4,,,MountingHole_3.2mm_M3,MountingHole,tht
101.7325,-53.585,-90.0,top,J1,,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Conn_01x04,tht
231.2,-29.6,180.0,top,J10,,,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",Screw_Terminal_01x03,tht
194.34,-27.6,180.0,top,J11,,,"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",Conn_01x05,tht
136.54,-27.6,180.0,top,J12,,,"TerminalBlock_Phoenix_MPT-0,5-11-2.54_1x11_P2.54mm_Horizontal",Conn_01x11,tht
102.24,-107.925,-90.0,top,J13,,,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",Conn_01x03,tht
101.8,-33.84,-90.0,top,J2,,,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",Conn_01x06,tht
175.08,-27.6,180.0,top,J3,,,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",Conn_01x08,tht
101.2,-98.54,180.0,top,J4,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04,tht
149.2,-119.26,0.0,top,J5,,,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",Conn_01x03,tht
164.2,-119.26,0.0,top,J6,,,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",Conn_01x03,tht
101.7325,-68.85,-90.0,top,J8,,,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",Conn_01x06,tht
240.3675,-88.445,90.0,top,J9,,,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,Conn_01x02,tht
192.8,-110.0,180.0,top,L1,,,IND-SMD_L13.5-W12.6_125CDMCC-DS,47u,tht
