Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,4u7,
"C10, C25",1206,2,47u,
"C11, C14",1206,2,1u,
C12,1206,1,10u,
C13,1206,1,3n9,
"C15, C16, C17",1206,3,150p,C282831
"C18, C19, C20",1206,3,330p,C106055
C2,1206,1,6n8,
C21,1206,1,22n,
"C22, C27, C28, C29, C30, C31, C32, C4, C5",1206,9,100n,
"C23, C24",C_Elec_10x10.2,2,220u,
C3,C_Elec_10x10.2,1,100u,
C6,1206,1,4n3,
C7,1206,1,220p,
C8,1206,1,1n8,
C9,1206,1,1p2,
D1,SMB_L4.3-W3.6-LS5.4-BI,1,26V,
D2,SMA_L4.4-W2.8-LS5.4-RD,1,SS24FL,
D3,1206,1,LED_ORANGE,
D4,1206,1,LED_RED,
D5,1206,1,LED_GREEN,
D6,1206,1,LED_BLUE,
D7,1206,1,LED_YELLOW,
E1,escon_vero,1,escon,
J1,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",1,Conn_01x04,
J10,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,
J11,"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",1,Conn_01x05,
J12,"TerminalBlock_Phoenix_MPT-0,5-11-2.54_1x11_P2.54mm_Horizontal",1,Conn_01x11,
"J13, J5, J6","TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",3,Conn_01x03,
"J2, J8","TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",2,Conn_01x06,
J3,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",1,Conn_01x08,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J9,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,Conn_01x02,
L1,IND-SMD_L13.5-W12.6_125CDMCC-DS,1,47u,
"L2, L3, L4",IND-SMD_L17.0-W17.0_YSPIA1770-100M,3,22uH,C5122901
Q1,PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP,1,NMOS,
Q2,DFN-8_L5.7-W4.9-P1.27-LS6.1-BL,1,PMOS,
Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,NMOS,
R1,1206,1,249k,
"R10, R11, R12, R13, R14, R15, R19, R20, R21, R24, R25, R26, R27, R31, R9",1206,15,10k,
"R16, R17, R18",1206,3,390,C4491
R2,1206,1,499k,
R22,1206,1,4k75,
R23,1206,1,95k3,
R28,TO-220-2_L10.1-W4.5-P5.08-L,1,25 Ohm,
R29,1206,1,105k,
R3,1206,1,61k9,
R30,1206,1,6k49,
R32,1206,1,1k,
R4,1206,1,27k4,
R5,1206,1,154,
R6,1206,1,1k4,
R7,1206,1,133k,
R8,1206,1,52k3,
TP1,TestPoint_Pad_D2.5mm,1,TestPoint,
U1,DGQ10_1P88X1P57_TEX,1,TPS54140ADGQR,
U2,VQFN24_RGE_TEX,1,PTPS259830LNRGER,
U3,SOT_RG1_DIO,1,AP2112K-3.3TRG1,
U4,MODULE_NUCLEO-L432KC,1,NUCLEO-L432KC,
U5,SOP65P640X120-14N,1,TXS0104EPWR,
U6,SOT95P280X145-6N,1,LM74700QDBVTQ1,
U7,SOIC8-N_MC_MCH,1,25LC256-I/SN,
U8,D16,1,AM26LS32ACDR,
U9,D8,1,TL431AIDR,
