Designator,Mid X,Mid Y,Rotation,Layer
C1,212.2,-110.4,270.0,top
C10,183.4,-113.4,270.0,top
C11,174.4,-106.2,90.0,top
C12,219.0,-95.5,270.0,top
C13,209.2,-85.2,180.0,top
C14,164.6,-105.0,90.0,top
C15,235.9,-38.3,90.0,top
C16,219.3,-38.2,90.0,top
C17,197.0,-38.0,90.0,top
C18,238.8,-38.3,90.0,top
C19,216.4,-38.2,90.0,top
C2,206.95,-101.7,90.0,top
C20,193.8,-37.9,90.0,top
C21,193.1,-77.6,180.0,top
C22,198.5,-77.6,0.0,top
C23,174.2,-73.7,270.0,top
C24,161.9,-73.7,270.0,top
C25,180.6,-113.4,270.0,top
C27,128.6,-61.5,90.0,top
C28,116.7,-64.8,270.0,top
C29,116.2,-47.7,90.0,top
C3,231.2,-74.2,270.0,top
C30,137.2,-114.8,0.0,top
C31,137.2,-89.6,0.0,top
C32,153.2,-110.5,270.0,top
C4,224.0,-91.7,270.0,top
C5,207.2,-112.2,180.0,top
C6,221.7,-82.4,90.0,top
C7,217.6,-82.4375,90.0,top
C8,180.2,-100.1,270.0,top
C9,184.6,-101.5,180.0,top
D1,230.6,-92.6,90.0,top
D2,202.6,-115.0,270.0,top
D3,227.2,-119.0,90.0,top
D4,236.2,-119.0,90.0,top
D5,231.795,-119.0,90.0,top
D6,222.4,-119.2,90.0,top
D7,217.4,-119.2,90.0,top
E1,157.95,-48.7575,180.0,top
H1,102.0,-27.8,0.0,top
H2,242.6,-27.6,0.0,top
H3,242.6,-119.6,0.0,top
H4,101.8,-119.6,0.0,top
J1,101.7325,-57.395,270.0,top
J10,226.2,-29.6,180.0,top
J11,189.26,-27.6,180.0,top
J12,123.84,-27.6,180.0,top
J13,101.245,-110.465,270.0,top
J2,101.8,-40.19,270.0,top
J3,166.19,-27.6,180.0,top
J4,101.2,-94.73,180.0,top
J5,151.74,-120.255,0.0,top
J6,166.74,-120.255,0.0,top
J8,101.7325,-75.2,270.0,top
J9,240.3675,-85.905,90.0,top
L1,192.8,-110.0,180.0,top
L2,215.4,-51.8,90.0,top
L3,194.4,-51.8,90.0,top
L4,236.2,-51.8,90.0,top
Q1,194.8805,-89.865,90.0,top
Q2,159.76,-88.234625,90.0,top
Q3,108.2,-47.5,90.0,top
R1,209.95,-101.5,90.0,top
R10,231.8,-103.7,270.0,top
R11,241.1,-103.5,90.0,top
R12,209.2,-82.6,180.0,top
R13,236.4,-103.5,270.0,top
R14,177.4,-106.2,270.0,top
R15,226.8,-103.9,270.0,top
R16,241.6,-35.1,90.0,top
R17,212.0,-36.7,180.0,top
R18,189.6,-36.3,180.0,top
R19,128.8,-68.7,90.0,top
R2,224.8,-82.4,90.0,top
R20,144.5,-98.7,0.0,top
R21,150.7,-98.7,180.0,top
R22,184.2,-73.6,90.0,top
R23,182.5,-89.8,270.0,top
R24,186.0,-89.8,90.0,top
R25,147.4,-110.5,0.0,top
R26,168.8,-87.6,180.0,top
R27,168.8,-90.7,0.0,top
R28,148.96,-86.3,180.0,top
R29,204.15,-101.7,270.0,top
R3,223.2,-76.0,90.0,top
R30,201.0,-100.0,90.0,top
R31,111.8,-47.0,90.0,top
R32,221.8,-103.9,270.0,top
R4,219.8,-76.0,90.0,top
R5,216.4,-76.0,90.0,top
R6,213.2,-75.9,90.0,top
R7,184.6,-98.9,180.0,top
R8,191.8,-101.4,0.0,top
R9,191.8,-98.8,180.0,top
TP1,197.8,-100.1,0.0,top
U1,204.95,-107.1,180.0,top
U2,218.9534,-88.15,180.0,top
U3,169.0,-106.4,180.0,top
U4,124.1275,-99.565,0.0,top
U5,122.863626,-65.15,0.0,top
U6,196.45,-82.2,270.0,top
U7,148.3,-104.6,270.0,top
U8,122.4,-44.8,180.0,top
U9,176.5,-92.3,0.0,top
