"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","VRATE"
"C1","1","4u7","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C2","1","6n8","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C3","1","100u","","","","Capacitor_SMD:C_Elec_10x10.2","","50"
"C4,C5,C22","3","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C6","1","4n3","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C7","1","220p","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C8","1","1n8","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C9","1","1p2","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C10,C25","2","47u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","10"
"C11,C14","2","1u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","16"
"C12","1","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C13","1","3n9","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C15,C16,C17","3","150p","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://jlcpcb.com/partdetail/CCTC-TCC1206X7R151K500DT/C282831","50"
"C18,C19,C20","3","330p","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://jlcpcb.com/partdetail/107270-C1206X331K101T/C106055","50"
"C21","1","22n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C23,C24","2","220u","","","","Capacitor_SMD:C_Elec_10x10.2","","50"
"C26","1","DNP","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","50"
"C27,C28,C29,C30,C31,C32","6","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","16"
"D1","1","26V","","","","diodes:SMB_L4.3-W3.6-LS5.4-BI","",""
"D2","1","SS24FL","","","","diodes:SMA_L4.4-W2.8-LS5.4-RD","https://www.vishay.com/docs/88748/ss22.pdf",""
"D3","1","LED_ORANGE","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"D4","1","LED_RED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"D5","1","LED_GREEN","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"D6","1","LED_BLUE","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"D7","1","LED_YELLOW","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"E1","1","escon","","","","escon50_5:escon_vero","",""
"J1,J4","2","Conn_01x04","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","",""
"J2,J8","2","Conn_01x06","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal","",""
"J3","1","Conn_01x08","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal","",""
"J5,J6,J13","3","Conn_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","",""
"J9","1","Conn_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","",""
"J10","1","Screw_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","",""
"J11","1","Conn_01x05","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","",""
"J12","1","Conn_01x11","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-11-2.54_1x11_P2.54mm_Horizontal","",""
"L1","1","47u","","","","inductors:IND-SMD_L7.3-W6.8","",""
"L2,L3,L4","3","22uH","","","","inductors:IND-SMD_L17.0-W17.0_YSPIA1770-100M","https://jlcpcb.com/partdetail/SOREDE-SRYH_1770YF220MT00/C5122901",""
"Q1","1","NMOS","","","","transistors:PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs",""
"Q2","1","PMOS","","","","transistors:DFN-8_L5.7-W4.9-P1.27-LS6.1-BL","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs",""
"Q3","1","NMOS","","","","transistors:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs",""
"R1","1","249k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R2","1","499k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R3","1","61k9","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R4","1","27k4","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R5","1","154","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R6","1","1k4","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R7","1","133k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R8","1","52k3","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R9,R10,R11,R12,R13,R14,R15,R19,R24,R26,R27,R31","12","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R16,R17,R18","3","390","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://jlcpcb.com/partdetail/4898-1206W4F3900T5E/C4491",""
"R20,R21,R25","3","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R22","1","4k75","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R23","1","95k3","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R28","1","25 Ohm","","","","resistors:TO-220-2_L10.1-W4.5-P5.08-L","",""
"R29","1","105k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R30","1","6k49","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"R32","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","",""
"TP1","1","TestPoint","","","","TestPoint:TestPoint_Pad_D2.5mm","",""
"U1","1","TPS54140ADGQR","","","","dgq10:DGQ10_1P88X1P57_TEX","https://www.ti.com/lit/gpn/tps54140a",""
"U2","1","PTPS259830LNRGER","","","","vqfn24:VQFN24_RGE_TEX","https://www.ti.com/lit/gpn/tps25983",""
"U3","1","AP2112K-3.3TRG1","","","","SOT_RG1:SOT_RG1_DIO","AP2112K-3.3TRG1",""
"U4","1","NUCLEO-L432KC","","","","NUCLEO_L432KC:MODULE_NUCLEO-L432KC","",""
"U5","1","TXS0104EPWR","","","","TXS0104EPWR:SOP65P640X120-14N","",""
"U6","1","LM74700QDBVTQ1","","","","LM74700QDBVTQ1:SOT95P280X145-6N","",""
"U7","1","25LC256-I/SN","","","","25LC256-ISN:SOIC8-N_MC_MCH","25LC256-I/SN",""
"U8","1","AM26LS32ACDR","","","","AM26LS32ACDR:D16","https://www.ti.com/lit/gpn/am26ls32ac",""
"U9","1","TL431AIDR","","","","TL431AIDR:D8","https://www.ti.com/lit/gpn/tl431",""
