"Reference","Qty","Value","DNP","Footprint","JLC","LCSC Part #","VRATE"
"C1","1","4u7","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C29823","","50"
"C2","1","6n8","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1879","","50"
"C5,C32,C33,C34,C35","5","100n","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497","","16,50"
"C8","1","1n8","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C527250","","50"
"C9","1","1p2","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C5448986","","50"
"C10,C25,L1","3","47u","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,inductors:IND-SMD_L13.5-W12.6_125CDMCC-DS","C357265,C92821","","10"
"C11,C12,C14","3","1u","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C28322","","16"
"C15,C16,C17","3","150p","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C282831","","50"
"C18,C19,C20","3","330p","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C106055","","50"
"C24","1","220u","","Capacitor_SMD:C_Elec_10x10.2","C3358","","50"
"D1","1","SMAJ26A","","Diode_SMD:D_SMA","C49370","",""
"D2","1","SS24FL","","diodes:SMA_L4.4-W2.8-LS5.4-RD","C111630","",""
"D3","1","LED_ORANGE","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C130716","",""
"D6","1","LED_BLUE","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C125088","",""
"D7","1","LED_YELLOW","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C2298","",""
"D8","1","LED_GREEN","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C264329","",""
"E1","1","escon","","escon50_5:escon_vero","","",""
"J1","1","Conn_01x04","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","","",""
"J2,J8","2","Conn_01x06","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal","","",""
"J3","1","Conn_01x08","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal","","",""
"J5,J6","2","Conn_01x03","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","","",""
"J7,J11","2","Conn_01x05","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","","",""
"J9,J13,J14,J16","4","Conn_01x02","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","","",""
"J10","1","Screw_Terminal_01x03","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","","",""
"L2,L3,L4","3","22uH","","inductors:IND-SMD_L17.0-W17.0_YSPIA1770-100M","C5122901","",""
"Q3","1","NMOS","","transistors:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C8545","",""
"R1","1","249k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C34578","",""
"R2","1","390 ohm","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C4491","",""
"R3,R4","2","4.7K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17936","",""
"R7","1","133k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C159706","",""
"R8","1","52k3","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C245568","",""
"R9,R10,R14,R15,R19,R20,R31","7","10k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C1489","",""
"R16,R17,R18","3","390","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C4491","",""
"R22,R23,R26","3","10K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C1489","",""
"R29","1","105k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C247404","",""
"R30","1","6k49","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C229768","",""
"R32","1","1k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C4410","",""
"TP1","1","TestPoint","","TestPoint:TestPoint_Pad_D2.5mm","","",""
"U1","1","TPS54140ADGQR","","dgq10:DGQ10_1P88X1P57_TEX","C20607218","",""
"U2","1","NODEMCU-32S","","NODEMCU-32S:MODULE_NODEMCU-32S","","",""
"U3","1","AP2112K-3.3TRG1","","SOT_RG1:SOT_RG1_DIO","C51118","",""
"U6","1","TXS0104EPWR","","TXS0104EPWR:SOP65P640X120-14N","C44955","",""
"U9","1","25LC256-I/SN","","25LC256-ISN:SOIC8-N_MC_MCH","C84670","",""
"U10","1","AM26LS32ACDR","","AM26LS32ACDR:D16","C6180","",""
